"Start Time","End Time","annotation","layer"
"0:00:06","0:00:12","八十八旅成立时的情况您讲一讲","Transcript"
0:00:12,0:00:15,在过到那以后,Transcript
0:00:15,0:00:26,苏联伯力军区领导给我们整编,Transcript
0:00:26,0:00:35,我们的旗帜是中国八一旗帜,Transcript
0:00:35,0:00:38,抗日联军,Transcript
0:00:38,0:00:41,给我们很大的鼓励,Transcript
0:00:41,0:00:44,我们在那三年,Transcript
0:00:44,0:00:50,东北抗日联军没好过了,Transcript
0:00:50,0:00:53,八女投江,Transcript
0:00:53,0:00:58,即使日本人经常围剿,Transcript
0:00:58,0:01:01,东北还留下一部分人,Transcript
0:01:01,0:01:06,日本人就向苏联交涉,Transcript
0:01:06,0:01:13,要把这部分武装还给我们,Transcript
0:01:13,0:01:19,"苏联不认证,没有那回事",Transcript
0:01:19,0:01:24,日本通牒,Transcript
0:01:24,0:01:31,要交出起义人员八十几名,Transcript
0:01:31,0:01:37,苏联人拒绝,Transcript
0:01:37,0:01:40,造成了,Transcript
0:01:40,0:01:46,就这样我们过了三年,Transcript
0:01:46,0:01:50,主要在苏联的任务,Transcript
0:01:50,0:01:55,就是反法西斯战争,Transcript
0:01:55,0:02:02,陆老，八十八旅是怎样搞政治、文化学习和军事训练的,Transcript
0:02:02,0:02:10,我们在苏联的主要人员是志愿军待遇,Transcript
0:02:10,0:02:18,穿的完全都是志愿军待遇,Transcript
0:02:18,0:02:23,我们不仅穿的都是苏联的军装,Transcript
0:02:23,0:02:27,武器全部都是苏联供应,Transcript
0:02:27,0:02:31,生活都是苏联供应,Transcript
0:02:31,0:02:40,主要是为了反法西斯战争,Transcript
0:02:40,0:02:50,我们阻止日本在苏联边界扰乱进攻苏联,Transcript
0:02:50,0:02:56,我们的任务主要驻军第二战线,Transcript
0:02:56,0:03:01,我们第一战线是前线,Transcript
0:03:01,0:03:04,莫斯科那一带,Transcript
0:03:04,0:03:10,第二战线是预备军队,Transcript
0:03:10,0:03:15,我们周保中就任命当了旅长,Transcript
0:03:15,0:03:21,我们的训练完全是军事训练,Transcript
0:03:21,0:03:31,军事训练就是每周大电影,Transcript
0:03:31,0:03:34,看电影战争,Transcript
0:03:34,0:03:40,苏联战争的战场情况,Transcript
0:03:40,0:03:46,电影我们经常看，用战争学习战争,Transcript
0:03:46,0:03:52,每天广场上有一个牌子,Transcript
0:03:52,0:03:56,德国占领什么地方了,Transcript
0:03:56,0:03:58,我们的部队,Transcript
0:03:58,0:04:02,苏军退到什么地方了,Transcript
0:04:02,0:04:06,就这样进行学习,Transcript
0:04:06,0:04:16,我们的地点离伯力军区三十公里,Transcript
0:04:16,0:04:19,三十公里,Transcript
0:04:19,0:04:26,我们的建军地就在瓦斯客村,Transcript
0:04:26,0:04:29,我们在那建立了野营,Transcript
0:04:29,0:04:36,苏联本来是个丘陵,Transcript
0:04:36,0:04:40,派了很多的拖拉机,Transcript
0:04:40,0:04:44,周围树都拔掉了,Transcript
0:04:44,0:04:46,搞了一个平地,Transcript
0:04:46,0:04:57,安了发电机，大喇叭,Transcript
0:04:57,0:05:05,经常广播苏德战争情况,Transcript
0:05:05,0:05:14,我们就不断地在战争当中战术交流很多,Transcript
0:05:14,0:05:19,游击战,Transcript
0:05:19,0:05:28,"从游击战,阻击战,运动战",Transcript
0:05:28,0:05:31,学习运动战,Transcript
0:05:31,0:05:38,"游击战就是你驻我扰,你走我追",Transcript
0:05:38,0:05:51,这就是中国延安的办法,Transcript
0:05:51,0:05:56,由于国民党围剿,Transcript
0:05:56,0:06:01,我们和中国断了联系,Transcript
0:06:01,0:06:10,当时第三国际王明在那呢,Transcript
0:06:10,0:06:20,由王明传达我们中国的情况,Transcript
0:06:20,0:06:29,内战情况就同时告诉我们,Transcript
0:06:29,0:06:37,"有一个战士在野营的时候支援种地被淹死了,这个情况你知道吗",Transcript
0:06:37,0:06:42,苏联十月革命以后,Transcript
0:06:42,0:06:46,土地全部收了,Transcript
0:06:46,0:06:53,"归国有,成立了集体农庄",Transcript
0:06:53,0:07:01,我们建设野营的时候,Transcript
0:07:01,0:07:04,就是运沙石,Transcript
0:07:04,0:07:07,运沙石,Transcript
0:07:07,0:07:15,"有一个姓侯的,姓李的",Transcript
0:07:15,0:07:22,他们为了多装沙石,Transcript
0:07:22,0:07:27,"船翻了,淹死了",Transcript
0:07:27,0:07:31,开了追悼会,Transcript
0:07:31,0:07:37,金日成领导我们进行游行,Transcript
0:07:37,0:07:41,送了花圈，放了鞭炮,Transcript
0:07:41,0:07:49,当时做了一口棺材,Transcript
0:07:49,0:07:54,送到我们城外一个小山上,Transcript
0:07:54,0:08:00,金日成组织人送葬,Transcript
0:08:00,0:08:02,埋葬的时候,Transcript
0:08:02,0:08:06,金日成第一个人先填第一把土,Transcript
0:08:06,0:08:16,后来我们大家放了抢,Transcript
0:08:16,0:08:23,悼念抗日战争为革命牺牲,Transcript
0:08:23,0:08:27,悼念大会,Transcript
0:08:27,0:08:32,每年清明进行扫祭,Transcript
